0.06	0.8	0.82	778.13	2.01
1.05	1.8	0.33	178.13	23.36
1.55	0.31	0.57	1078.13	83.95
0.55	1.3	0.08	478.13	191.99
0.8	0.06	0.45	328.13	27.42
1.8	1.05	0.95	928.13	1115.78
1.3	0.55	0.2	28.13	21.91
0.31	1.55	0.7	628.13	1.94
0.43	0.43	0.14	253.13	56.5
1.42	1.42	0.64	853.13	2.92
1.92	0.93	0.39	553.13	108.14
0.93	1.92	0.88	1153.13	253.26
0.68	0.68	0.51	1003.13	116.93
1.67	1.67	0.02	403.13	114.24
1.18	0.18	0.76	703.13	40.22
0.18	1.18	0.27	103.13	37.9
0.24	0.24	0.67	590.63	75.52
1.24	1.24	0.17	1190.63	243.4
1.74	0.74	0.91	290.63	30.01
0.74	1.74	0.42	890.63	74.38
0.99	0.99	0.05	740.63	185.84
1.98	1.98	0.54	140.63	0.02
1.49	0.49	0.3	1040.63	101.36
0.49	1.49	0.79	440.63	0.19
0.37	0.62	0.36	1115.63	154.17
1.36	1.61	0.85	515.63	5.22
1.86	0.12	0.11	815.63	27.52
0.87	1.11	0.61	215.63	21.25
0.62	0.37	0.98	65.63	1.98
1.61	1.36	0.48	665.63	38.95
1.11	0.87	0.73	365.63	8.11
0.12	1.86	0.23	965.63	255.48
0.09	0.27	0.4	609.38	62.03
1.08	1.27	0.9	9.38	0.47
1.58	0.77	0.16	909.38	150.41
0.59	1.77	0.65	309.38	1.48
0.83	0.52	0.78	459.38	14.99
1.83	1.52	0.28	1059.38	113.8
1.33	0.03	0.53	159.38	26.4
0.34	1.02	0.03	759.38	192.99
0.46	0.9	0.59	84.38	16.67
1.46	1.89	0.1	684.38	128.79
1.95	0.4	0.84	384.38	2.05
0.96	1.39	0.34	984.38	159.02
0.71	0.15	0.22	1134.38	29.88
1.7	1.14	0.71	534.38	0.75
1.21	0.65	0.47	834.38	119.79
0.21	1.64	0.96	234.38	126.96
0.15	0.71	0.13	421.88	115.34
1.14	1.7	0.62	1021.88	2.64
1.64	0.21	0.37	121.88	39.44
0.65	1.21	0.87	721.88	0.39
0.9	0.46	0.74	871.88	26.44
1.89	1.46	0.25	271.88	73.3
1.39	0.96	0.99	1171.88	2599.44
0.4	1.95	0.5	571.88	15.33
0.27	0.09	0.93	946.88	6.33
1.27	1.08	0.44	346.88	84.47
1.77	0.59	0.68	646.88	28.8
0.77	1.58	0.19	46.88	22.19
0.52	0.83	0.31	196.88	85.14
1.52	1.83	0.81	796.88	3.53
1.02	0.34	0.06	496.88	42.36
0.03	1.33	0.56	1096.88	50.92
0.06	0.8	0.93	778.13	62.92
1.05	1.8	0.73	178.13	35.59
1.55	0.31	0.83	1078.13	75.79
0.55	1.3	0.63	478.13	188.27
0.8	0.06	0.78	328.13	26.82
1.8	1.05	0.98	928.13	1.66
1.3	0.55	0.68	28.13	22.14
0.31	1.55	0.88	628.13	27.46
0.43	0.43	0.65	253.13	52.74
1.42	1.42	0.85	853.13	36.21
1.92	0.93	0.75	553.13	146.49
0.93	1.92	0.95	1153.13	0.38
0.68	0.68	0.8	1003.13	165.16
1.67	1.67	0.6	403.13	114.49
